filename,tempo,beats,chroma_stft,rmse,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,label
blues.00081.au,103.359375,50,0.380260210341482,0.24826228618621826,2116.9429590051586,1956.6110562233207,4196.10796004257,0.12727247303115324,-26.929784696801033,107.33400763152126,-46.80999313926354,40.93263380897833,-21.463775815685374,24.81627494577181,-18.945571348278193,15.25345946194162,-15.050104081489566,12.26282276274354,-15.234049901082212,14.3366121677627,-13.82176876910632,7.562788734031475,-6.1813724929144716,0.3301650057813506,-6.829571234249954,0.9659217436842505,-7.570824746827891,2.9189869428522006,blues
blues.00022.au,95.703125,44,0.3064508714632783,0.11347541213035583,1156.0704963820428,1497.6681759683513,2170.053544649768,0.05861340218653251,-233.86077189794975,136.17023911175588,3.2894897462574204,48.931192700101434,8.699106029002891,13.954751765004522,5.359448746017438,0.38133401565837083,-13.490265024615615,16.871768529933618,5.145257765116672,-2.2505777648960104,3.9591977874878403,5.322554727344165,0.8120284016422507,-1.107201600225631,-4.556555094666098,-2.436489803480714,3.316912611812463,-0.6084848944184776,blues
blues.00031.au,151.99908088235293,75,0.25348710245505335,0.15157076716423035,1331.0739701050647,1973.6434372895203,2900.174129710478,0.04296723829334365,-221.80254934934018,110.84307046546753,18.620983584163703,30.922996400329236,3.291329639342958,22.58744674735365,-20.418302565536205,12.120994913961425,-26.347956227007884,-4.3562701188024375,-26.40667424223017,-13.037723437883551,-12.65222769694683,-1.821905314451639,-7.2600966425673645,-6.660251774233229,-14.682693515387957,-11.719263564296815,-11.025216212247594,-13.387260054984512,blues
blues.00012.au,184.5703125,91,0.26932002161441265,0.11907171458005905,1361.0454673278873,1567.8045957296163,2739.6251005284926,0.06912392064144737,-207.20808000096704,132.79917547173525,-15.438985574580657,60.986727010328785,0.7258069987326781,12.43782769594966,1.1838357226819083,-1.5407794479807526,-17.888153908063188,8.358496131028003,-2.452067630211951,-0.6132481781338707,0.38487737035503383,2.605127926563345,-5.1889237507533155,-9.527455286518675,-9.244394048981395,-2.848273751032292,-1.4187068621065633,-5.932606959673903,blues
blues.00056.au,161.4990234375,74,0.3910586048908631,0.13772834837436676,1811.0760835832946,2052.3325634591984,3927.8095824061534,0.07547951335139319,-145.43456756366888,102.82902343171612,-12.517677046878706,56.993472479205856,2.2713473143903524,26.591401689632708,-4.274803265249228,17.338809375939622,-7.985592904458899,15.235426849475722,-6.934599487150008,7.457217935902641,-10.470444040371126,-2.3604833961435436,-6.783623499969429,2.6711340861840167,-4.760879374649032,-0.949004850705792,0.024832052653457896,-2.0053146211697643,blues
blues.00058.au,107.666015625,51,0.35658817574125506,0.16202762722969055,2068.3711246841767,2033.9300469624952,4231.499412701964,0.10437162889415634,-95.4360266747876,105.21669993684291,-26.953012137247093,60.830872963933075,-4.828224038325184,21.538470911636644,-13.514778237896723,12.122106952754496,-20.233634430204383,12.138657603414693,-5.227018432849199,10.262575194841311,-9.438187173443032,3.8675346551228666,-10.187452837266864,3.5880927441767154,-3.1007526450944334,0.19459684882898723,0.8428718320566752,-3.4165764213502463,blues
blues.00066.au,161.4990234375,80,0.3747097195357098,0.11049626022577286,2340.4328733825514,2256.538115173274,4972.503265286377,0.1217751517753483,-116.5174018581056,97.43027908045312,-13.880190789238995,48.96675901162066,-22.582243520212746,27.753969298528183,-20.228649533830435,18.630770428490482,-14.64288400495541,8.473100381565843,-16.644654994868816,10.998190322521554,-13.861800778318857,9.735367421738996,-5.0894880045053625,2.6346379300003444,-9.883816292692673,6.159058834881353,-7.68260791891807,-4.852478816859322,blues
blues.00060.au,151.99908088235293,74,0.4308941251036067,0.19622159004211426,1946.5656516997744,1979.9099336776742,3955.8677460756094,0.09745368130804953,-67.77097956346114,111.70418437555524,-34.64610469268643,61.33489585153122,0.05025166845490116,30.56061363001247,-12.701724815937999,21.15956662935581,-13.131144900464413,16.28229438768078,-6.335244723935733,12.295831835524067,-12.477988352815052,1.6812779029386036,-5.142068413428153,4.644001792502817,-6.919217464902766,1.0407183413280323,-4.736870881358987,-0.6600370657688395,blues
blues.00025.au,92.28515625,45,0.2909484345848451,0.0892222598195076,1109.5696272816494,1463.2881312997417,2243.569766773897,0.05172493288022446,-249.28199585886327,130.99792431581645,0.6654350086970751,66.69611478942306,17.905894522180354,4.622959839703025,6.610036443422714,1.245375534325453,1.41917471049871,-1.5842925240640404,-0.9741593094430594,-3.575064543333747,-2.926914689378012,4.598685626747694,7.478114825592707,-0.17876957417481,-2.8188574183515134,-2.6676363663681677,0.7516670979000221,-0.5331793283480133,blues
blues.00014.au,151.99908088235293,70,0.3291627346813485,0.06698053330183029,1172.0656952451861,1705.8175015242066,2344.952487059791,0.045045834945820436,-305.70518720508653,113.06091138016497,12.118722613682626,45.03000324394117,17.769759373267675,14.57991675167697,4.166733601942122,0.22527315475322202,-7.021746776226756,13.644271539845578,8.934528985061203,1.2984780632471478,5.9544777643514335,8.543866905796472,1.117663745807102,0.5915586716558381,0.0574739113668091,-3.712341582790394,-1.0044480623130825,-1.8024338511470968,blues
blues.00093.au,58.72691761363637,26,0.37769044494973586,0.06590629369020462,569.9307210492651,995.4071254154082,927.4277253047601,0.021700549051857584,-350.43620437674775,169.54575246767908,31.82037204204468,16.68283599611739,28.710146991219442,19.256975148381592,7.863395228025491,10.036764173214786,4.7351064415598465,2.907466130461865,3.9155526165943098,1.8216896579931465,-5.970891626504509,-5.259567525651274,-0.22921074958690615,-1.7768505278694282,-3.713751193386575,0.18159019462278062,2.0723901154544087,-2.8962245700126488,blues
blues.00097.au,117.45383522727273,53,0.3751581891905781,0.19828161597251892,1236.5742801274876,1602.309124322475,2604.15091972233,0.04462595842202012,-148.63917335270781,145.7463111608904,-9.363638697385541,48.45377028259567,10.557437175626577,18.006431938804422,-2.6260479848541673,16.955489493092795,-11.512661289270497,8.724416910550923,-8.164550812215623,3.230692524217566,-0.6670597212066541,-0.7277910884783542,-6.82116029849202,-3.9425472527681684,-15.73937016336939,-5.604687664541438,-5.802769757492512,-0.04872894717660137,blues
blues.00040.au,172.265625,83,0.39772477616922824,0.13489176332950592,2272.495078762922,2356.855937297162,5108.319110693208,0.09765700585332818,-110.26007922206821,90.70181194764976,-2.5274869065726535,74.05327233368662,-11.747300637061128,39.214671427294086,-13.171819303028796,20.535273652741697,-17.163641371687177,12.82871270538781,-21.433579936270288,5.952405102540335,-8.033585673298187,4.239867716774857,-16.485552237979057,6.542502570684264,-5.695943480287576,-3.640864027973028,-4.856883646988248,1.854516430711247,blues
blues.00096.au,143.5546875,66,0.26057377866606124,0.05134931951761246,1132.3406288744395,1582.4920466586439,2065.4791769966623,0.048313766810178016,-314.58280924083414,139.926741139158,11.865851290232923,30.113314332219,-7.54976352406895,14.914179018343933,-2.6995623693941946,6.707929959555148,-6.391600672327112,2.819350094755733,-11.715413542679286,2.0774795944273983,-11.442501484309156,-9.504389523164674,-15.185494858648738,-9.355572388070266,-5.672771473947152,1.5647719991291376,0.890935738876942,-7.960376499642333,blues
blues.00095.au,135.99917763157896,67,0.36997251421883237,0.1871483325958252,1388.39474862631,1772.854380462517,2754.525010430776,0.05714742465654025,-130.55397225401617,139.97709926425094,-1.2691460629711102,39.32365376858322,-6.3518056858683485,19.769089210578368,-11.213041530925304,27.246106942029627,-16.53266559514234,7.031402853888389,-1.1971613771232843,1.6117575303072937,-6.628306543146792,4.9522403206503744,-1.6333260623660577,0.9566591458921817,-4.840757295824366,-5.966955168574989,-2.7821869213086763,-6.49400117333515,blues
blues.00068.au,161.4990234375,80,0.2899323200045883,0.1031152680516243,2513.716817329611,2345.230614186449,5247.443269428454,0.13514619715073528,-113.16777334117403,88.70933416046076,-8.925342997009773,49.48749508588593,-34.58000748036988,15.865090535717043,-17.7443760431182,14.714098925474232,-11.207615837035439,15.366564082219778,-15.081729964066572,8.748788169713427,-18.630898960865593,5.4742180526304,-9.267429646039165,8.017964216148817,-9.552074369724686,5.873593845563581,-4.402835065865359,3.6153485806440084,blues
blues.00071.au,73.828125,35,0.30526217800779015,0.12054178863763809,2429.260934160635,2286.6252810980545,5065.0277058037445,0.13468663832720587,-89.35790636877006,93.78605524319522,-14.574537694374717,54.39165391725997,-33.508379637103594,19.420993785587374,-19.76160054705034,13.026320193235975,-13.86595719911722,14.60776589944029,-14.969525987073453,10.585570663365436,-18.02693445672413,6.654246867752051,-10.204747005188047,6.527642259019389,-10.846745295394568,3.3194233950198493,-6.189024383767312,2.994840593625732,blues
blues.00080.au,117.45383522727273,54,0.36815823777467027,0.2424335777759552,1827.148035708558,1898.717123611609,3743.6190295145607,0.09403873597136223,-54.727689029261256,119.47319492305242,-34.8455825841848,37.5287927059516,-15.874042154885904,22.068439845970463,-14.655403888212719,18.519848685471437,-9.629923766378573,11.255999831896068,-11.723004940399852,11.535462282286957,-6.4212559466977375,1.7880872207259066,-5.874568805921984,0.3709387260737981,-9.066487747238204,-2.021231639876075,-5.417519706892989,0.0242438195925836,blues
blues.00094.au,103.359375,44,0.37668670275283406,0.14101780951023102,1239.3372282343391,1659.4664703824992,2517.6181096410605,0.05090785543246904,-206.2784314380986,126.62746798711643,10.585204843575754,43.22316786341587,12.501487519001813,19.425001992858146,0.35738224105955546,12.73880822778408,-4.572330206855467,4.050817279349342,-4.4139528213539245,3.6594086180751724,-1.4484807040256737,-1.6951501834240947,-7.157463819439714,1.17111389954409,-6.22197459678454,0.6007025900278742,-1.605094950710089,-0.5287738546953902,blues
